Name,cat,manufacturer,model,insulation type,jacket type,od,kgm,jackThickness,guage,#conduits,grade,part#,Item#
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,37.592,1.936101364,1.27,12,37,Industrial Grade,546-31-3117,604
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,48.514,2.778402188,1.524,12,37,Industrial Grade,546-15-3587,989
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,41.91,2.733757268,2.032,12,37,Nuclear Tracability,202-14-6337,1279
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,38.1,2.288796232,2.032,12,37,Nuclear Qualified 383,202-14-2337,1293
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,32.766,2.03134386,2.032,12,37,Industrial Grade,    202-10-2337 ,1294
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,36.322,2.331952988,2.032,12,37,Nuclear Tracability,202-10-6337,1305
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,33.782,2.028367532,2.032,12,37,Nuclear Qualified,202-16-2337 ,1329
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,39.116,2.38850322,2.032,12,37,Nuclear Qualified,202-18-2337,1339
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,40.132,2.1578378,1.016,12,37,Class 1E Nuclear,C64-1370,114
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,28.956,1.7113886,1.651,12,37,Class 1E Nuclear,C16-0370,1190
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,27.432,1.6369804,1.651,12,37,Industrial Grade,C12-0370,1197
Rockbestus-SupFirewall III,1,Rockbestus-Sup,Firewall III,1,1,31.496,1.8974091,2.032,12,37,Class 1E Nuclear,C52-3406,1268
Generic (TS TS 12 3+G),1,GENERIC,GENERIC,1,1,10.414,0.220248272,1.143,12,3+G,Industrial Grade,280170,334
Generic (TS  14 1),1,GENERIC,GENERIC,1,1,3.556,0.028275116,0.762,14,1,Industrial Grade,,60
Generic (TP TP 14 2),1,GENERIC,GENERIC,2,2,8.128,0.095242496,1.143,14,2,,,
Generic (TS TS 14 2),1,GENERIC,GENERIC,1,1,11.303,0.162209876,1.143,14,2,,,
American Insulated WireAmerican SDN ,1,American Insulated Wire,American SDN ,2,2,8.128,0.116076792,1.143,14,2,Industrial Grade,38799,177
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,5.9944,0.072920036,1.143,14,2,Industrial Grade,,251
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,8.128,0.1116123,1.143,14,2,Industrial Grade,181402C6,266
Dekoron1C99,1,Dekoron,1C99,2,2,8.636,0.138399252,1.143,14,2,Industrial Grade,1C99-4020L,135
DrakaPower & Control Type TC THHN or THWN (or TFN),1,Draka,Power & Control Type TC THHN or THWN (or TFN),2,2,8.382,0.1116123,1.143,14,2,Industrial Grade,5702,445
General Cable20/10,1,General Cable,20/10,2,2,9.398,0.098218824,1.143,14,2,Industrial Grade,647560,146
General CableVNTC ,1,General Cable,VNTC ,2,2,8.128,0.095242496,1.143,14,2,Industrial Grade,245590,521
General CableVNTC ,1,General Cable,VNTC ,2,2,8.382,0.099706988,1.143,14,2,Industrial Grade,243660,522
OkoniteOkozel,1,Okonite,Okozel,2,2,6.35,0.078872692,0.381,14,2,Class 1E Nuclear,203-76-3352,6
American Insulated WireXL-40™ Control,1,American Insulated Wire,XL-40™ Control,1,1,9.525,0.132446596,1.143,14,2,Industrial Grade,19872,553
American Insulated WireXL-40™ Shielded Control,1,American Insulated Wire,XL-40™ Shielded Control,1,1,9.652,0.144351908,1.143,14,2,Industrial Grade,30561,567
DrakaReduced Diameter Control,1,Draka,Reduced Diameter Control,1,1,7.874,0.083337184,0.762,14,2,Industrial Grade,214-02,49
DrakaControl Cable Multiconductor XLPE ins,1,Draka,Control Cable Multiconductor XLPE ins,1,1,9.779,0.114588628,1.143,14,2,Industrial Grade,814-02,206
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,11.303,0.162209876,1.143,14,2,Industrial Grade,254020,377
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,11.303,0.162209876,1.143,14,2,Industrial Grade,154023,457
General CableCHTC ,1,General Cable,CHTC ,1,1,9.398,0.1116123,1.143,14,2,Industrial Grade,272270,189
General CableCVTC ,1,General Cable,CVTC ,1,1,9.271,0.108635972,1.143,14,2,Industrial Grade,771080,215
General CableEHTC ,1,General Cable,EHTC ,1,1,9.398,0.101195152,1.143,14,2,Industrial Grade,343590,229
General CableFREP,1,General Cable,FREP,1,1,9.525,0.110124136,1.143,14,2,Industrial Grade,280980,322
General CableFREP,1,General Cable,FREP,1,1,9.398,0.105659644,1.143,14,2,Industrial Grade,305320,323
General CableUltrol 275,1,General Cable,Ultrol 275,1,1,0.91186,0.122029448,1.143,14,2,Class 1E Nuclear,378370,499
General CableUltrol 300,1,General Cable,Ultrol 300,1,1,10.0838,0.181556008,1.143,14,2,Class 1E Nuclear,378860,515
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,11.43,0.147328236,1.143,14,2,Nuclear Qualified 383,202-14-2152,301
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,8.382,0.144351908,1.143,14,2,Industrial Grade,202-10-2152,302
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,9.906,0.15625722,1.143,14,2,Nuclear Qualified,202-16-2152,346
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,12.7,0.188996828,1.143,14,2,Nuclear Qualified,202-18-2152,356
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,15.24,0.211319288,1.27,14,2,Industrial Grade,546-31-3002,589
OkoniteC-L-X Type MC-HL (XHHW-2),1,Okonite,C-L-X Type MC-HL (XHHW-2),1,1,15.24,0.242570732,1.27,14,2,Industrial Grade,546-31-3402,612
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,17.526,0.296144636,1.27,14,2,Industrial Grade,546-15-3452,628
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,17.018,0.373529164,1.524,14,2,Nuclear Tracability,202-14-6152,812
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.389898968,1.524,14,2,Nuclear Tracability,202-10-6152,861
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,8.382,0.09673066,0.889,14,2,Class 1E Nuclear,C15-0020,66
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,7.874,0.08184902,0.889,14,2,Industrial Grade,C14-0020,79
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,11.684,0.13393476,1.016,14,2,Class 1E Nuclear,C64-0020,95
Rockbestus-SupFirewall III,1,Rockbestus-Sup,Firewall III,1,1,9.398,0.12649394,1.143,14,2,Class 1E Nuclear,C53-0020,281
Generic (TP TP 14 3),1,GENERIC,GENERIC,2,2,8.89,0.117564956,1.143,14,3,,,
Generic (TS TS 14 3),1,GENERIC,GENERIC,1,1,10.922,0.175603352,1.143,14,3,,,
American Insulated WireAmerican SDN ,1,American Insulated Wire,American SDN ,2,2,8.636,0.125005776,1.143,14,3,Industrial Grade,38509,178
American Insulated WireTYPE TC-ER Control/Instrument,1,American Insulated Wire,TYPE TC-ER Control/Instrument,2,2,8.4836,0.129470268,1.143,14,3,Industrial Grade,68116,487
Cable USAETFE TYPE TC,1,Cable USA,ETFE TYPE TC,2,2,7.1628,0.098218824,0.381,14,3,Industrial Grade,181403C6,1
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,6.3754,0.10417148,1.143,14,3,Industrial Grade,,252
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,8.5852,0.147328236,1.143,14,3,Industrial Grade,181403C6,267
Dekoron1735,1,Dekoron,1735,2,2,10.4394,0.147328236,1.143,14,3,Industrial Grade,,125
Dekoron1C99,1,Dekoron,1C99,2,2,9.144,0.136911088,1.143,14,3,Industrial Grade,1C99-4030L,136
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,10.16,0.14137558,1.143,14,3,Industrial Grade,72030,162
DrakaPower & Control 3 THHN/THWN,1,Draka,Power & Control 3 THHN/THWN,2,2,9.652,0.153280892,1.143,14,3,Industrial Grade,4047,408
DrakaPower & Control Type TC THHN or THWN,1,Draka,Power & Control Type TC THHN or THWN,2,2,8.89,0.117564956,1.143,14,3,Industrial Grade,4033,426
DrakaPower & Control Type TC THHN or THWN (or TFN),1,Draka,Power & Control Type TC THHN or THWN (or TFN),2,2,8.89,0.139887416,1.143,14,3,Industrial Grade,5703,446
General Cable20/10,1,General Cable,20/10,2,2,9.906,0.129470268,1.143,14,3,Industrial Grade,365410,147
General CableVNTC ,1,General Cable,VNTC ,2,2,8.763,0.11905312,1.143,14,3,Industrial Grade,235050,523
General CableVNTC ,1,General Cable,VNTC ,2,2,8.89,0.125005776,1.143,14,3,Industrial Grade,243720,524
General CableVNTC ,1,General Cable,VNTC ,2,2,9.271,0.077384528,1.143,14,3,Industrial Grade,383890,525
OkoniteOkozel,1,Okonite,Okozel,2,2,6.858,0.101195152,0.381,14,3,Class 1E Nuclear,203-76-3353,7
OkoniteP-30,1,Okonite,P-30,2,2,10.16,0.132446596,1.143,14,3,Industrial Grade,203-84-2153,397
American Insulated WireTYPE TC Control/Instrument,1,American Insulated Wire,TYPE TC Control/Instrument,1,1,9.7282,0.120541284,1.143,14,3,Industrial Grade,40917,478
American Insulated WireXL-40™ Control,1,American Insulated Wire,XL-40™ Control,1,1,10.287,0.162209876,1.143,14,3,Industrial Grade,19873,554
American Insulated WireXL-40™ Shielded Control,1,American Insulated Wire,XL-40™ Shielded Control,1,1,10.414,0.174115188,1.143,14,3,Industrial Grade,24713,568
Dekoron2X35,1,Dekoron,2X35,1,1,10.4394,0.15625722,1.143,14,3,Industrial Grade,2X35-40360,171
DrakaReduced Diameter Control,1,Draka,Reduced Diameter Control,1,1,8.382,0.110124136,0.762,14,3,Industrial Grade,214-03,50
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,10.16,0.151792728,1.143,14,3,Industrial Grade,224030,373
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,10.16,0.151792728,1.143,14,3,Industrial Grade,204030,378
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,11.938,0.196437648,1.143,14,3,Industrial Grade,254030,379
DrakaPower & Control Type TC 3 XHHW-2 1 bare,1,Draka,Power & Control Type TC 3 XHHW-2 1 bare,1,1,9.652,0.153280892,1.143,14,3,Industrial Grade,4047,421
DrakaPower & Control Type TC 3 XHHW-2 1 bare Shield,1,Draka,Power & Control Type TC 3 XHHW-2 1 bare Shield,1,1,11.938,0.220248272,1.143,14,3,Industrial Grade,154047,424
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,10.16,0.151792728,1.143,14,3,Industrial Grade,104033,458
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,11.938,0.196437648,1.143,14,3,Industrial Grade,154033,459
DrakaALL-TEMP INDUSTRITE Type SOW Control,1,Draka,ALL-TEMP INDUSTRITE Type SOW Control,1,1,14.351,0.251499716,2.032,14,3,Industrial Grade,A13407,1226
General CableCHTC ,1,General Cable,CHTC ,1,1,9.906,0.14137558,1.143,14,3,Industrial Grade,223790,190
General CableCHTC Type TC-ER,1,General Cable,CHTC Type TC-ER,1,1,10.795,0.078872692,1.143,14,3,Industrial Grade,383790,200
General CableCVTC ,1,General Cable,CVTC ,1,1,9.906,0.138399252,1.143,14,3,Industrial Grade,770530,216
General CableCVTC ,1,General Cable,CVTC ,1,1,10.795,0.172627024,1.143,14,3,Industrial Grade,383860,217
General CableEHTC ,1,General Cable,EHTC ,1,1,10.922,0.175603352,1.143,14,3,Industrial Grade,383830,230
General CableEHTC ,1,General Cable,EHTC ,1,1,10.795,0.078872692,1.143,14,3,Industrial Grade,383800,231
General CableEHTC ,1,General Cable,EHTC ,1,1,9.906,0.113100464,1.143,14,3,Industrial Grade,262140,232
General CableFREP,1,General Cable,FREP,1,1,10.033,0.14137558,1.143,14,3,Industrial Grade,354800,324
General CableFREP,1,General Cable,FREP,1,1,9.906,0.136911088,1.143,14,3,Industrial Grade,280180,325
General CableUltrol 275,1,General Cable,Ultrol 275,1,1,9.6266,0.138399252,1.143,14,3,Class 1E Nuclear,378380,500
General CableUltrol 300,1,General Cable,Ultrol 300,1,1,10.668,0.206854796,1.143,14,3,Class 1E Nuclear,378870,516
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,11.938,0.17857968,1.143,14,3,Nuclear Qualified 383,202-14-2153,303
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,10.414,0.169650696,1.143,14,3,Industrial Grade,202-10-2153,304
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,10.414,0.1860205,1.143,14,3,Nuclear Qualified,202-16-2153,347
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,13.208,0.23066542,1.143,14,3,Nuclear Qualified,202-18-2153,357
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,15.24,0.227689092,1.27,14,3,Industrial Grade,546-31-3003,587
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,18.542,0.34227772,1.27,14,3,Industrial Grade,546-15-3553,629
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,17.018,0.392875296,1.524,14,3,Nuclear Tracability,202-14-6153,813
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.4092451,1.524,14,3,Nuclear Tracability,202-10-6153,862
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,8.89,0.12649394,0.889,14,3,Class 1E Nuclear,C15-0030,67
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,8.382,0.1116123,0.889,14,3,Industrial Grade,C14-0030,80
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,12.446,0.16369804,1.016,14,3,Class 1E Nuclear,C64-0030,96
Rockbestus-SupFirewall III,1,Rockbestus-Sup,Firewall III,1,1,9.906,0.16369804,1.143,14,3,Class 1E Nuclear,C53-0030,282
Generic (TP TP 14 4),1,GENERIC,GENERIC,2,2,9.398,0.154769056,1.143,14,4,,,
Generic (TS TS 14 4),1,GENERIC,GENERIC,1,1,11.43,0.21578378,1.143,14,4,,,
American Insulated WireAmerican SDN ,1,American Insulated Wire,American SDN ,2,2,9.398,0.154769056,1.143,14,4,Industrial Grade,38510,179
American Insulated WireTYPE TC-ER Control/Instrument,1,American Insulated Wire,TYPE TC-ER Control/Instrument,2,2,9.2202,0.159233548,1.143,14,4,Industrial Grade,68117,488
Cable USAETFE TYPE TC,1,Cable USA,ETFE TYPE TC,2,2,7.8232,0.125005776,0.381,14,4,Industrial Grade,181404C6,2
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,6.985,0.132446596,1.143,14,4,Industrial Grade,,253
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,9.2964,0.180067844,1.143,14,4,Industrial Grade,181404C6,268
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,11.049,0.174115188,1.143,14,4,Industrial Grade,72040,163
DrakaPower & Control Type TC THHN or THWN,1,Draka,Power & Control Type TC THHN or THWN,2,2,9.652,0.147328236,1.143,14,4,Industrial Grade,4043,427
DrakaPower & Control Type TC THHN or THWN (or TFN),1,Draka,Power & Control Type TC THHN or THWN (or TFN),2,2,9.652,0.17113886,1.143,14,4,Industrial Grade,5704,447
General Cable20/10,1,General Cable,20/10,2,2,10.668,0.160721712,1.143,14,4,Industrial Grade,267950,148
General CableVNTC ,1,General Cable,VNTC ,2,2,9.271,0.1488164,1.143,14,4,Industrial Grade,235060,526
General CableVNTC ,1,General Cable,VNTC ,2,2,9.652,0.154769056,1.143,14,4,Industrial Grade,243650,527
OkoniteOkozel,1,Okonite,Okozel,2,2,7.366,0.129470268,0.381,14,4,Class 1E Nuclear,203-76-3354,8
OkoniteP-30,1,Okonite,P-30,2,2,11.176,0.165186204,1.143,14,4,Industrial Grade,203-84-2154,398
American Insulated WireTYPE TC Control/Instrument,1,American Insulated Wire,TYPE TC Control/Instrument,1,1,10.5664,0.151792728,1.143,14,4,Industrial Grade,40918,479
American Insulated WireXL-40™ Control,1,American Insulated Wire,XL-40™ Control,1,1,11.303,0.183044172,1.143,14,4,Industrial Grade,19874,555
American Insulated WireXLPE-CPE TYPE TC Power/Control,1,American Insulated Wire,XLPE-CPE TYPE TC Power/Control,1,1,10.668,0.1488164,1.143,14,4,Industrial Grade,40951,580
DrakaReduced Diameter Control,1,Draka,Reduced Diameter Control,1,1,9.144,0.139887416,0.762,14,4,Industrial Grade,214-04,51
DrakaControl Cable Multiconductor XLPE ins,1,Draka,Control Cable Multiconductor XLPE ins,1,1,11.303,0.183044172,1.143,14,4,Industrial Grade,814-04,207
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,11.049,0.187508664,1.143,14,4,Industrial Grade,224040,374
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,11.049,0.187508664,1.143,14,4,Industrial Grade,204040,380
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,12.827,0.23066542,1.143,14,4,Industrial Grade,254040,381
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,11.049,0.187508664,1.143,14,4,Industrial Grade,104043,460
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,12.827,0.23066542,1.143,14,4,Industrial Grade,154043,461
DrakaALL-TEMP INDUSTRITE Type SOW Control,1,Draka,ALL-TEMP INDUSTRITE Type SOW Control,1,1,15.494,0.31251444,2.032,14,4,Industrial Grade,A13408,1227
General CableCHTC ,1,General Cable,CHTC ,1,1,10.795,0.175603352,1.143,14,4,Industrial Grade,223780,191
General CableCVTC ,1,General Cable,CVTC ,1,1,10.795,0.172627024,1.143,14,4,Industrial Grade,770610,218
General CableEHTC ,1,General Cable,EHTC ,1,1,10.795,0.144351908,1.143,14,4,Industrial Grade,248240,233
General CableFREP,1,General Cable,FREP,1,1,10.922,0.175603352,1.143,14,4,Industrial Grade,305330,326
General CableFREP,1,General Cable,FREP,1,1,10.795,0.17113886,1.143,14,4,Industrial Grade,280190,327
General CableUltrol 275,1,General Cable,Ultrol 275,1,1,3.556,0.172627024,1.143,14,4,Class 1E Nuclear,378390,501
General CableUltrol 300,1,General Cable,Ultrol 300,1,1,11.684,0.279774832,1.143,14,4,Class 1E Nuclear,378880,517
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,13.208,0.263405028,1.143,14,4,Nuclear Qualified 383,202-14-2154,305
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,11.176,0.209831124,1.143,14,4,Industrial Grade,202-10-2154 ,306
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,11.43,0.21578378,1.143,14,4,Nuclear Qualified,202-16-2154,348
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,16.256,0.269357684,1.27,14,4,Industrial Grade,546-31-3004 ,590
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,19.812,0.403292444,1.27,14,4,Industrial Grade,546-15-3454,630
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,17.272,0.406268772,1.524,14,4,Nuclear Tracability,202-14-6154,814
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.421150412,1.524,14,4,Nuclear Tracability,202-10-6154,863
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,15.24,0.31251444,1.524,14,4,Nuclear Qualified,202-18-2154,920
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,9.906,0.15625722,0.889,14,4,Class 1E Nuclear,C15-0040,68
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,9.144,0.14137558,0.889,14,4,Industrial Grade,C14-0040,81
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,13.716,0.2232246,1.016,14,4,Class 1E Nuclear,C64-0040,97
Rockbestus-SupFirewall III,1,Rockbestus-Sup,Firewall III,1,1,10.668,0.19346132,1.143,14,4,Class 1E Nuclear,C53-0040,283
Generic (TP TP 14 5),1,GENERIC,GENERIC,2,2,10.414,0.175603352,1.143,14,5,,,
Generic (TS TS 14 5),1,GENERIC,GENERIC,1,1,12.446,0.264893192,1.143,14,5,,,
American Insulated WireAmerican SDN ,1,American Insulated Wire,American SDN ,2,2,10.16,0.188996828,1.143,14,5,Industrial Grade,38511,180
American Insulated WireTYPE TC-ER Control/Instrument,1,American Insulated Wire,TYPE TC-ER Control/Instrument,2,2,10.033,0.191973156,1.143,14,5,Industrial Grade,68118,489
Cable USAETFE TYPE TC,1,Cable USA,ETFE TYPE TC,2,2,8.5852,0.153280892,0.381,14,5,Industrial Grade,181405C6,3
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,7.6962,0.159233548,1.143,14,5,Industrial Grade,,254
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,10.1092,0.212807452,1.143,14,5,Industrial Grade,181405C6,269
Dekoron1735,1,Dekoron,1735,2,2,12.065,0.209831124,1.143,14,5,Industrial Grade,,126
Dekoron1C99,1,Dekoron,1C99,2,2,10.8204,0.196437648,1.143,14,5,Industrial Grade,1C99-4050L,137
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,12.065,0.196437648,1.143,14,5,Industrial Grade,72050,164
DrakaPower & Control Type TC THHN or THWN,1,Draka,Power & Control Type TC THHN or THWN,2,2,10.541,0.177091516,1.143,14,5,Industrial Grade,4053,428
DrakaPower & Control Type TC THHN or THWN (or TFN),1,Draka,Power & Control Type TC THHN or THWN (or TFN),2,2,10.541,0.19346132,1.143,14,5,Industrial Grade,5705,448
General Cable20/10,1,General Cable,20/10,2,2,11.684,0.19346132,1.143,14,5,Industrial Grade,286130,149
General CableVNTC ,1,General Cable,VNTC ,2,2,10.16,0.183044172,1.143,14,5,Industrial Grade,243570,528
General CableVNTC ,1,General Cable,VNTC ,2,2,10.414,0.175603352,1.143,14,5,Industrial Grade,235070,529
OkoniteOkozel,1,Okonite,Okozel,2,2,8.128,0.157745384,0.381,14,5,Class 1E Nuclear,203-76-3355,9
OkoniteP-30,1,Okonite,P-30,2,2,12.192,0.202390304,1.143,14,5,Industrial Grade,203-84-2155,399
American Insulated WireTYPE TC Control/Instrument,1,American Insulated Wire,TYPE TC Control/Instrument,1,1,11.557,0.184532336,1.143,14,5,Industrial Grade,40919,480
American Insulated WireXL-40™ Control,1,American Insulated Wire,XL-40™ Control,1,1,11.938,0.235129912,1.143,14,5,Industrial Grade,19875,556
American Insulated WireXLPE-CPE TYPE TC Power/Control,1,American Insulated Wire,XLPE-CPE TYPE TC Power/Control,1,1,11.684,0.181556008,1.143,14,5,Industrial Grade,40952,581
Dekoron2X35,1,Dekoron,2X35,1,1,12.319,0.224712764,1.143,14,5,Industrial Grade,2X35-40560,172
DrakaReduced Diameter Control,1,Draka,Reduced Diameter Control,1,1,10.033,0.169650696,0.762,14,5,Industrial Grade,214-05,52
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,12.065,0.2232246,1.143,14,5,Industrial Grade,224050,375
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,12.065,0.2232246,1.143,14,5,Industrial Grade,204050,382
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,12.065,0.2232246,1.143,14,5,Industrial Grade,104053,462
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,14.732,0.308049948,1.524,14,5,Industrial Grade,254050,959
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,14.732,0.308049948,1.524,14,5,Industrial Grade,154053,1076
General CableCHTC ,1,General Cable,CHTC ,1,1,11.811,0.212807452,1.143,14,5,Industrial Grade,223770,192
General CableCVTC ,1,General Cable,CVTC ,1,1,11.811,0.20834296,1.143,14,5,Industrial Grade,770420,219
General CableEHTC ,1,General Cable,EHTC ,1,1,11.811,0.17857968,1.143,14,5,Industrial Grade,262150,234
General CableFREP,1,General Cable,FREP,1,1,11.938,0.211319288,1.143,14,5,Industrial Grade,354810,328
General CableFREP,1,General Cable,FREP,1,1,11.811,0.206854796,1.143,14,5,Industrial Grade,279870,329
General CableUltrol 275,1,General Cable,Ultrol 275,1,1,11.4808,0.20090214,1.143,14,5,Class 1E Nuclear,378400,502
General CableUltrol 300,1,General Cable,Ultrol 300,1,1,15.4178,0.328884244,1.524,14,5,Class 1E Nuclear,378890,1135
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,12.192,0.254476044,1.143,14,5,Industrial Grade,    202-10-2155,307
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,12.446,0.264893192,1.143,14,5,Nuclear Qualified,202-16-2155,349
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,17.526,0.31251444,1.27,14,5,Industrial Grade,546-31-3005,591
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,21.844,0.471747988,1.27,14,5,Industrial Grade,546-15-3455,631
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,18.288,0.465795332,1.524,14,5,Nuclear Tracability,202-14-6155,815
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,15.24,0.311026276,1.524,14,5,Nuclear Qualified 383,202-14-2155,831
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.430079396,1.524,14,5,Nuclear Tracability,202-10-6155,864
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,16.51,0.38692264,1.524,14,5,Nuclear Qualified,202-18-2155,921
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,10.668,0.1860205,0.889,14,5,Class 1E Nuclear,C15-0050,69
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,9.906,0.17113886,0.889,14,5,Industrial Grade,C14-0050,82
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,14.986,0.26786952,1.016,14,5,Class 1E Nuclear,C64-0050,98
